program,faculty,campus,duration,eng_taught,type,url
Education,Faculty of Education,主校区,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/education-d3001
Education and Arts,Faculty of Education + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/education-and-arts-d3002
Education and Business,Faculty of Education + Faculty of Business and Economics,主校区+Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/education-and-business-d3007
Education and Fine Art,"Faculty of Education + Faculty of Art, Design and Architecture",主校区+Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/education-and-fine-art-d3006
Education and Music,Faculty of Education + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/education-and-music-d3004
Education and Science,Faculty of Education + Faculty of Science,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/education-and-science-d3005
Engineering (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/engineering-2612
Engineering,Faculty of Engineering,主校区+Malaysia,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/engineering-e3001
Engineering (International students),Monash College,Docklands,1.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/engineering-u0604
Engineering and Architectural Design,"Faculty of Engineering + Faculty of Art, Design and Architecture",主校区+Caulfield,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-architectural-design-e3009
Engineering and Arts,Faculty of Engineering + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-arts-e3002
Engineering and Biomedical Science,"Faculty of Engineering + Faculty of Medicine, Nursing and Health Sciences",主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-biomedical-science-e3004
Engineering and Commerce,Faculty of Engineering + Faculty of Business and Economics,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-commerce-e3005
Engineering and Computer Science,Faculty of Engineering + Faculty of Information Technology,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-computer-science-e3010
Engineering and Design,"Faculty of Engineering + Faculty of Art, Design and Architecture",主校区+Caulfield,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-design-e3012
Engineering and Engineering,Faculty of Engineering,主校区,5,TRUE,本硕连读,https://www.monash.edu/study/courses/find-a-course/engineering-and-engineering-e6003
Engineering and Information Technology,Faculty of Engineering + Faculty of Information Technology,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-information-technology-e3011
Engineering and Pharmaceutical Science,Faculty of Engineering + Faculty of Pharmacy and Pharmaceutical Sciences,主校区+Parkville,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-pharmaceutical-science-e3008
Engineering and Science,Faculty of Engineering + Faculty of Science,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/engineering-and-science-e3007
Finance,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/finance-b2034
Fine Art,"Faculty of Art, Design and Architecture",Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/fine-art-f2003
Fine Art,"Faculty of Art, Design and Architecture",Caulfield,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/fine-art-f3701
Fine Art and Business,"Faculty of Art, Design and Architecture + Faculty of Business and Economics",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/fine-art-and-business-f2007
Fine Art and Information Technology,"Faculty of Art, Design and Architecture + Faculty of Information Technology",Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/fine-art-and-information-technology-f2006
Fine Art and Media Communication,"Faculty of Art, Design and Architecture + Faculty of Arts",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/fine-art-and-media-communication-f2013
Global Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/global-studies-a2001
Global Studies and Information Technology,Faculty of Arts + Faculty of Information Technology,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/global-studies-and-information-technology-a2016
Health Sciences,"Faculty of Medicine, Nursing and Health Sciences",主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/health-sciences-m2014
Health Sciences,"Faculty of Medicine, Nursing and Health Sciences",主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/health-sciences-m3705
Information Technology (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/information-technology-2638
Information Technology,Faculty of Information Technology,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/information-technology-c2000
Information Technology,Faculty of Information Technology,主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/information-technology-c3703
Information Technology (International students),Monash College,Docklands,1.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/information-technology-u0605
Information Technology and Arts,Faculty of Information Technology + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/information-technology-and-arts-c2002
Information Technology and Science,Faculty of Information Technology + Faculty of Science,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/information-technology-and-science-c2003
International Relations,Faculty of Arts,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/international-relations-a2020
Laws,Faculty of Law,主校区,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/laws-l3001
Laws and Arts,Faculty of Law + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-arts-l3003
Laws and Biomedical Science,"Faculty of Law + Faculty of Medicine, Nursing and Health Sciences",主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-biomedical-science-l3004
Laws and Commerce,Faculty of Law + Faculty of Business and Economics,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-commerce-l3005
Laws and Computer Science,Faculty of Law + Faculty of Information Technology,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-computer-science-l3019
Laws and Criminology,Faculty of Law + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-criminology-l3012
Laws and Engineering,Faculty of Law + Faculty of Engineering,主校区,6,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-engineering-l3018
Laws and Global Studies,Faculty of Law + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-global-studies-l3006
Laws and Information Technology,Faculty of Law + Faculty of Information Technology,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-information-technology-l3011
Laws and International Relations,Faculty of Law + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-international-relations-l3017
Laws and Music,Faculty of Law + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-music-l3009
"Laws and Politics, Philosophy and Economics",Faculty of Law + Faculty of Arts,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-politics-philosophy-and-economics-l3016
Laws and Psychology,"Faculty of Law + Faculty of Medicine, Nursing and Health Sciences",主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-psychology-l3013
Laws and Science,Faculty of Law + Faculty of Science,主校区,5,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/laws-and-science-l3007
Learning Design and Technology,Faculty of Education,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/learning-design-and-technology-d3010
Marketing,Faculty of Business and Economics,Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/marketing-b2036
Marketing and Arts,Faculty of Business and Economics + Faculty of Arts,Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/marketing-and-arts-b2039
Marketing and Media Communication,Faculty of Business and Economics + Faculty of Arts,Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/marketing-and-media-communication-b2044
Media Communication,Faculty of Arts,Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/media-communication-a2002
Media Communication and Music,Faculty of Arts,Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/media-communication-and-music-a2021
Medical Science,"Faculty of Medicine, Nursing and Health Sciences",主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/medical-science-m3701
Medical Science and Medicine (Direct entry),"Faculty of Medicine, Nursing and Health Sciences",主校区,5,TRUE,本硕连读,https://www.monash.edu/study/courses/find-a-course/medical-science-and-medicine-m6011
Medical Science and Medicine (Graduate Entry),"Faculty of Medicine, Nursing and Health Sciences",主校区,4,TRUE,本硕连读,https://www.monash.edu/study/courses/find-a-course/medical-science-and-medicine-m6018
Monash Advanced Preparation Program,Monash College,Docklands,0.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/monash-advanced-preparation-program-u0401
Monash University Foundation Year - Extended,Monash College,Docklands,1.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/monash-university-foundation-year-extended-3633
Monash University Foundation Year - Standard,Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/monash-university-foundation-year-standard-3611
Music,Faculty of Arts,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/music-a2003
Music,Faculty of Arts,主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/music-a3702
Nursing,"Faculty of Medicine, Nursing and Health Sciences",主校区+Peninsula,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/nursing-m2006
Nursing,"Faculty of Medicine, Nursing and Health Sciences",主校区+Peninsula,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/nursing-m3704
Nursing and Midwifery,"Faculty of Medicine, Nursing and Health Sciences",Peninsula,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/nursing-and-midwifery-m3007
Nutrition Science,"Faculty of Medicine, Nursing and Health Sciences",主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/nutrition-science-m2001
Occupational Therapy,"Faculty of Medicine, Nursing and Health Sciences",Peninsula,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/occupational-therapy-m3001
Paramedicine,"Faculty of Medicine, Nursing and Health Sciences",Peninsula,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/paramedicine-m2011
Paramedicine,"Faculty of Medicine, Nursing and Health Sciences",Peninsula,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/paramedicine-m3707
Pharmaceutical Science,Faculty of Pharmacy and Pharmaceutical Sciences,Parkville,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/pharmaceutical-science-p2001
Pharmaceutical Science,Faculty of Pharmacy and Pharmaceutical Sciences,Parkville,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/pharmaceutical-science-p3701
